evc,evh,percent
0-20,10,0.000594718
0-20,8,0.000297359
21-30,10,0.000892077
21-30,11,0.001189435
21-30,12,0.001486794
21-30,13,0.00267623
21-30,14,0.001784153
21-30,15,0.003865665
21-30,16,0.00267623
21-30,17,0.001189435
21-30,18,0.000297359
31-40,10,0.003568306
31-40,11,0.006244536
31-40,12,0.010704919
31-40,13,0.027654374
31-40,14,0.047577417
31-40,15,0.048172135
31-40,16,0.045495905
31-40,17,0.026464938
31-40,18,0.015462661
31-40,19,0.003865665
31-40,20,0.001784153
31-40,21,0.002378871
31-40,22,0.001189435
31-40,23,0.000594718
31-40,24,0.000297359
31-40,6,0.000892077
31-40,8,0.000594718
31-40,9,0.000892077
41-50,10,0.007433971
41-50,11,0.013975866
41-50,12,0.024383426
41-50,13,0.051145724
41-50,14,0.087720863
41-50,15,0.157600195
41-50,16,0.188525516
41-50,17,0.159384348
41-50,18,0.106157113
41-50,19,0.044603829
41-50,20,0.015462661
41-50,21,0.006244536
41-50,22,0.002378871
41-50,23,0.001189435
41-50,24,0.000297359
41-50,27,0.000297359
41-50,4,0.000297359
41-50,6,0.000297359
41-50,7,0.000594718
41-50,8,0.002081512
41-50,9,0.001189435
51-60,10,0.012786431
51-60,11,0.027357015
51-60,12,0.042224958
51-60,13,0.066013667
51-60,14,0.104967677
51-60,15,0.179604751
51-60,16,0.258702207
51-60,17,0.316389826
51-60,18,0.302413959
51-60,19,0.225398015
51-60,20,0.138271869
51-60,21,0.107346548
51-60,22,0.082071045
51-60,23,0.040738164
51-60,24,0.021112479
51-60,25,0.00773133
51-60,26,0.001784153
51-60,27,0.000892077
51-60,3,0.000297359
51-60,5,0.000594718
51-60,6,0.00267623
51-60,7,0.001189435
51-60,8,0.002973589
51-60,9,0.005649818
61-70,10,0.016652096
61-70,11,0.028249092
61-70,12,0.035385704
61-70,13,0.058579695
61-70,14,0.080584251
61-70,15,0.114185802
61-70,16,0.184065133
61-70,17,0.288140734
61-70,18,0.443064699
61-70,19,0.613153966
61-70,20,0.748154888
61-70,21,0.801976842
61-70,22,0.841822929
61-70,23,0.756183577
61-70,24,0.53138028
61-70,25,0.290816964
61-70,26,0.146597917
61-70,27,0.050848365
61-70,5,0.000594718
61-70,6,0.000297359
61-70,7,0.003270947
61-70,8,0.004163024
61-70,9,0.011894354
71-80,10,0.003865665
71-80,11,0.009515483
71-80,12,0.01040756
71-80,13,0.016354737
71-80,14,0.030330604
71-80,15,0.038061934
71-80,16,0.061850643
71-80,17,0.148084712
71-80,18,0.326202668
71-80,19,0.755291501
71-80,20,1.478468245
71-80,21,2.594158683
71-80,22,3.795191113
71-80,23,4.94478046
71-80,24,5.558231785
71-80,25,4.981652958
71-80,26,3.833847764
71-80,27,2.756219261
71-80,5,0.000297359
71-80,6,0.000297359
71-80,8,0.000297359
71-80,9,0.002081512
81-90,11,0.001189435
81-90,12,0.001189435
81-90,13,0.002378871
81-90,14,0.006244536
81-90,15,0.009812842
81-90,16,0.01813889
81-90,17,0.037169857
81-90,18,0.126080156
81-90,19,0.397271435
81-90,20,1.328004663
81-90,21,3.578119146
81-90,22,7.13066543
81-90,23,10.63622901
81-90,24,12.66183756
81-90,25,11.15928325
81-90,26,7.444676384
81-90,27,4.984626547
81-90,9,0.000297359
